CustomerID,Name,Gender,Age,AnnualIncome,SpendingScore,FamilySize,Education,MaritalStatus,Profession,JoinDate,Email
1001,NAME_1001,female,62,--,75,2,Masters,married,Executive,2019/04/27, user1001@example.com 
1002,name_1002,FEMALE,49,25000,15,2,Bachelors,married,Engineer,2021/11/16,user1002@example.com
1003,name_1003,F,69,25000,24,2,Bachelors,Divorced,Lawyer,2020/07/05,user1003@example.com
1004,name_1004,M,47,65000,38,2,Bachelor,Divorced,Executive,2020/09/20,user1004@example.com
1005,name_1005,Male,64,75000,35,1,Masters,married,engineer,2020/08/21,user1005@example.com
1006,name_1006,Male,52,75000,94,2,master,single,Doctor,2019/06/21,user1006@example.com
1007,name_1007,Male,,45000,95,5,HS,married,Artist,2021/01/07,user1007@example.com
1008,name_1008,male,57,85000,49,3,HS,single,Artist,2022/05/23,user1008(at)example.com
1009,name_1009,M,69,--,69,N/A,Bachelors,Divorced,Executive,2021/04/11,user1009@example.com
1010,name_1010,F,33,unknown,62,5,,Married,Artist,2023/06/03,user1010@example.com
1011,name_1011,Male,30,95000,60,3,,,Lawyer,2020/11/01,user1011@example.com
1012,name_1012,unknown,67,75000,50,4,Masters,Divorced,Other,2022/12/29,user1012@example.com
1013,name_1013,female,59,95000,78,5,Masters,Divorced,Executive,2018/05/08,user1013@example.com
1014,name_1014,Male,47,65000,75,4,master,Single,Lawyer,2022/06/20,user1014@example.com
1015,name_1015,Male,36,95000,9,2,Bachelor,Single,Other,2018/04/02,user1015@example.com
1016,name_1016,Male,34,unknown,34,2,Phd,Single,Lawyer,2022/08/04,user1016@example.com
1017,name_1017,Female,36,55000,76,1,HS,,Lawyer,2019/06/27,user1017@example.com
1018,name_1018,Female,45,unknown,99,2,Bachelor,Single,Engineer,2020/04/25,user1018@example.com
1019,name_1019,Female,,95000,35,5,High School,single,,2022/04/05,user1019@example.com
1020,name_1020,Female,43,unknown,1,4,HS,married,Engineer,2022/08/09,user1020@example.com
1021,name_1021,M,54,35000,40,3,Bachelor,Married,Doctor,2020/09/15,user1021@example.com
1022,name_1022,Male,43,65000,64,2,HS,Divorced,Engineer,2023/01/26,user1022@example.com
1023,name_1023,Female,N/A,--,22,2,Phd,single,Executive,2019/03/23,user1023@example.com
1024,name_1024,Female,40,55000,60,2,High School,Married,Doctor,2019/01/25,user1024@example.com
1025,name_1025,Female,26,75000,64,3,,single,Engineer,2019/11/03,user1025@example.com
1026,name_1026,female,29,25000,93,2,,single,Engineer,2023/02/28,user1026@example.com
1027,name_1027,Male,N/A,--,72,2,Phd,Divorced,Engineer,2018/02/12,user1027@example.com
1028,name_1028,Female,18,25000,11,4,master,married,Executive,2018/09/11,user1028(at)example.com
1029,name_1029,M,18,65000,14,4,High School,Single,Executive,2021/02/27,user1029@example.com
1030,name_1030,Male,64,55000,60,5,Bachelors,,Artist,2020/12/19,user1030@example.com
1031,name_1031,M,51,45000,30,5,Bachelor,married,Lawyer,2019/10/25,user1031@example.com
1032,name_1032,Male,49,75000,35,three,High School,,Executive,2019/04/12,user1032@example.com
1033,name_1033,Male,unknown,35000,85,N/A,master,Divorced,Engineer,2018/10/14,user1033@example.com
1034,name_1034,FEMALE,65,45000,37,three,master,Divorced,Artist,2020/10/07,user1034(at)example.com
1035,name_1035,unknown,42,65000,5,1,Phd,Divorced,engineer,2022/03/21,user1035@example.com
1036,name_1036,female,57,--,83,2,HS,Married,Executive,2022/01/30,user1036@example.com
1037,name_1037,Female,62,35000,78,5,High School,,Doctor,2023/05/08,user1037@example.com
1038,name_1038,Male,N/A,unknown,26,4,Bachelor,married,Lawyer,2020/02/17,user1038@example.com
1039,name_1039,F,18,95000,62,3,High School,married,Artist,2018/12/11,user1039@example.com
1040,name_1040,Female,33,35000,4,4,Masters,single,Lawyer,2019/10/04,user1040@example.com
1041,name_1041,Male,56,65000,89,2,HS,single,Engineer,2019/01/17,user1041@example.com
1042,name_1042,Female,22,85000,42,three,Bachelor,single,Engineer,2022/12/08,user1042@example.com
1043,name_1043,Male,39,95000,89,4,,Divorced,Engineer,2019/11/21,user1043(at)example.com
1044,name_1044,male,46,25000,18,N/A,Bachelor,married,Other,2021/06/30,user1044@example.com
1045,name_1045,Male,,75000,40,1,Bachelors,,Executive,2023/05/05,user1045@example.com
1046,name_1046,F,20,25000,72,2,Phd,Divorced,Engineer,2020/12/15,user1046@example.com
1047,name_1047,Female,29,35000,39,three,Bachelors,Married,Engineer,2022/01/26,user1047@example.com
1048,name_1048,Female,43,25000,14,N/A,Bachelor,single,Executive,2019/04/02,user1048@example.com
1049,name_1049,Female,33,65000,32,3,HS,Divorced,Engineer,2020/09/09,user1049@example.com
1050,name_1050,Male,68,unknown,51,three,High School,Divorced,Doctor,2018/03/24,user1050@example.com
1051,NAME_1051,unknown,54,--,38,2,,Married,engineer,2023/04/13, user1051@example.com 
1052,name_1052,female,39,75000,97,N/A,High School,Single,Doctor,2021/01/27,user1052@example.com
1053,name_1053,FEMALE,46,25000,23,N/A,HS,married,Executive,2018/05/29,user1053@example.com
1054,name_1054,male,31,25000,63,1,Bachelor,,engineer,2021/09/14,user1054@example.com
1055,name_1055,M,45,35000,15,2,master,Single,Artist,2021/03/25,user1055@example.com
1056,name_1056,FEMALE,22,--,97,3,High School,single,Engineer,2018/07/09,user1056@example.com
1057,name_1057,Male,64,45000,25,1,master,Divorced,Doctor,2022/02/26,user1057@example.com
1058,name_1058,Male,66,25000,17,three,High School,Married,Other,2020/06/01,user1058@example.com
1059,name_1059,Male,47,65000,97,1,High School,Married,Other,2018/09/20,user1059@example.com
1060,name_1060,Female,63,85000,66,N/A,,married,Other,2021/01/08,user1060@example.com
1061,name_1061,Female,69,75000,78,2,Phd,Single,Engineer,2019/02/04,user1061@example.com
1062,name_1062,Male,22,25000,53,5,Phd,married,Other,2020/02/03,user1062@example.com
1063,name_1063,female,29,65000,51,1,Masters,Divorced,Other,2019/09/01,user1063@example.com
1064,name_1064,Female,33,65000,39,2,Bachelors,married,Executive,2021/07/07,user1064@example.com
1065,name_1065,Female,43,75000,51,1,HS,,engineer,2022/12/01,user1065@example.com
1066,name_1066,Female,43,45000,70,three,HS,Married,Other,2022/06/27,user1066@example.com
1067,name_1067,Male,65,65000,6,three,HS,Married,Executive,2022/04/25,user1067@example.com
1068,name_1068,female,38,85000,67,3,Masters,single,Executive,2020/02/24,user1068@example.com
1069,name_1069,Male,56,65000,7,three,Phd,single,Artist,2018/04/11,user1069@example.com
1070,name_1070,,53,65000,51,4,Bachelor,Divorced,Engineer,2021/10/14,user1070@example.com
1071,name_1071,female,50,65000,72,2,master,,Executive,2021/11/04,user1071@example.com
1072,name_1072,Male,47,unknown,42,2,,Single,Doctor,2020/03/30,user1072@example.com
1073,name_1073,Male,54,unknown,64,5,master,married,Other,2021/05/29,user1073@example.com
1074,name_1074,female,,,15,5,,Divorced,,2020/03/30,
1075,name_1075,F,27,25000,29,2,,single,Other,2019/02/24,user1075@example.com
